Date,Close,High,Low,Open,Volume,RSI,MACD,BB_Upper,BB_Lower
2020-01-01,675.32421875,683.1529137163456,673.490123328754,679.0819971118469,14004468,,,,
2020-01-02,686.8212280273438,689.3487905881979,676.397899264457,676.397899264457,17710316,,,,
2020-01-03,687.6488037109375,689.6618949086101,681.3187290426969,685.7922517653002,20984698,,,,
2020-01-06,671.7006225585938,683.5107049345103,670.1348718060082,679.9766568901101,24519177,,,,
2020-01-07,682.0345458984375,686.4633346701793,677.0688889990518,679.5293205694625,16683622,,,,
2020-01-08,676.9122924804688,686.4408797211686,675.5031406802602,677.7399018936877,16047902,,,,
2020-01-09,692.5026245117188,693.3973052036212,685.0094646794911,688.2975058097518,14982742,,,,
2020-01-10,692.345947265625,696.9536717580928,688.7671054525405,694.2471733835102,12478359,,,,
2020-01-13,690.5789794921875,697.2892636445985,688.2080160085029,691.182918802657,18282382,,,,
2020-01-14,684.1818237304688,693.3972733335526,680.8043146862556,688.9237506296278,15816535,,,,
2020-01-15,681.6990356445312,688.8790573291237,679.1938699492092,687.0672990416617,15817859,,,,
2020-01-16,687.9843139648438,690.4224084594933,683.55552505049,684.0029251254354,12847975,,,,
2020-01-17,707.2652587890625,709.0322829800654,694.8288390890643,694.9630411899628,29463471,,,,
2020-01-20,685.5015258789062,719.7911481994419,682.839761284159,719.7911481994419,32545850,51.64443265288046,,,
2020-01-21,686.1948852539062,691.5407512237331,680.8713564368783,683.8239219068291,18922720,52.07424949323201,,,
2020-01-22,685.9489135742188,691.9434536836012,684.9423678831845,690.71323780845,10322817,51.89801169363722,,,
2020-01-23,683.0411987304688,689.796218032275,680.2899656476081,687.3581232334355,11247739,49.75433939107202,,,
2020-01-24,680.6700439453125,687.2908592684342,679.3279633794755,683.1080783353278,14628445,48.012706414435506,,,
2020-01-27,673.9598388671875,681.9674704241261,673.2664314282462,677.6952802850295,13387750,43.38442177495246,,,
2020-01-28,658.3919677734375,675.5032444510476,654.7460541997162,674.8769082130656,24532236,34.96354285191126,,702.6391200682849,664.4316868164808
2020-01-29,662.0155029296875,668.5244541677285,654.9472866809749,659.4208095162297,24746565,37.98096815328223,,703.9013081355039,661.8386271672306
2020-01-30,645.8660278320312,661.9483606637074,644.1884717288344,661.6352224321117,22402689,31.063584851621783,,707.2093222820498,654.4350930011534
2020-01-31,631.5059814453125,650.1158766250334,629.5152871221561,650.0040116804691,34750310,26.450496668213503,,711.806444194799,644.2236888618415
2020-02-03,619.8078002929688,626.2720780843299,609.7647395910974,612.8291109062031,30712290,23.4016607931364,,717.6646117909291,633.176239039149
2020-02-04,638.1044311523438,640.8332667548419,625.310139999637,626.2942886767648,25383901,35.855352362171416,,718.3351167395925,628.1127226158761
2020-02-05,647.9909057617188,649.9145288544571,639.849132797698,641.9068982608502,18472100,41.39950349427128,-11.33482777570373,718.1596982321864,625.3960024514074
2020-02-06,652.1512451171875,656.2668952091881,644.2331428592124,650.4960860546478,15538577,43.608329867010156,-10.68292690887779,715.8702688930672,623.6502938510733
2020-02-07,641.3478393554688,649.7133433335028,638.9544787429636,649.1094039600182,12209212,39.44995697196237,-10.912245755930485,713.6813754340805,620.7393765190446
2020-02-10,642.2201538085938,646.6489428047836,630.9692153123326,638.8202476362594,15142476,39.94789952699143,-10.897969104159074,711.1804929090453,618.4043764757204
2020-02-11,649.8922119140625,655.9090886918525,646.4475719077193,647.4988515504008,13999816,44.28741828425961,-10.150574281917216,709.0051553731611,617.1507528299638
2020-02-12,657.7432861328125,659.7787743619559,650.8987994375913,651.4132707150139,13533565,48.396934970078476,-8.82303595892813,707.0455498104092,616.714783441544
