Date,Close,High,Low,Open,Volume,RSI,MACD,BB_Upper,BB_Lower,Future_Close,Future_Return,Signal
2020-01-01,675.32421875,683.1529137163456,673.490123328754,679.0819971118469,14004468,,,,,676.9122924804688,0.23515723061261085,Hold
2020-01-02,686.8212280273438,689.3487905881979,676.397899264457,676.397899264457,17710316,,,,,692.5026245117188,0.8272016432416984,Hold
2020-01-03,687.6488037109375,689.6618949086101,681.3187290426969,685.7922517653002,20984698,,,,,692.345947265625,0.6830730351509501,Hold
2020-01-06,671.7006225585938,683.5107049345103,670.1348718060082,679.9766568901101,24519177,,,,,690.5789794921875,2.810531403362955,Buy
2020-01-07,682.0345458984375,686.4633346701793,677.0688889990518,679.5293205694625,16683622,,,,,684.1818237304688,0.3148341744482549,Hold
2020-01-08,676.9122924804688,686.4408797211686,675.5031406802602,677.7399018936877,16047902,,,,,681.6990356445312,0.7071437787784912,Hold
2020-01-09,692.5026245117188,693.3973052036212,685.0094646794911,688.2975058097518,14982742,,,,,687.9843139648438,-0.6524611441091426,Hold
2020-01-10,692.345947265625,696.9536717580928,688.7671054525405,694.2471733835102,12478359,,,,,707.2652587890625,2.1548925912486876,Buy
2020-01-13,690.5789794921875,697.2892636445985,688.2080160085029,691.182918802657,18282382,,,,,685.5015258789062,-0.7352458971477702,Hold
2020-01-14,684.1818237304688,693.3972733335526,680.8043146862556,688.9237506296278,15816535,,,,,686.1948852539062,0.29422902708250537,Hold
2020-01-15,681.6990356445312,688.8790573291237,679.1938699492092,687.0672990416617,15817859,,,,,685.9489135742188,0.623424371675887,Hold
2020-01-16,687.9843139648438,690.4224084594933,683.55552505049,684.0029251254354,12847975,,,,,683.0411987304688,-0.7184924327544472,Hold
2020-01-17,707.2652587890625,709.0322829800654,694.8288390890643,694.9630411899628,29463471,,,,,680.6700439453125,-3.7602885923288163,Sell
2020-01-20,685.5015258789062,719.7911481994419,682.839761284159,719.7911481994419,32545850,51.64443265288046,,,,673.9598388671875,-1.6836850941973815,Hold
2020-01-21,686.1948852539062,691.5407512237331,680.8713564368783,683.8239219068291,18922720,52.07424949323201,,,,658.3919677734375,-4.051752363350988,Sell
2020-01-22,685.9489135742188,691.9434536836012,684.9423678831845,690.71323780845,10322817,51.89801169363722,,,,662.0155029296875,-3.489095203872159,Sell
2020-01-23,683.0411987304688,689.796218032275,680.2899656476081,687.3581232334355,11247739,49.75433939107202,,,,645.8660278320312,-5.442595698112054,Sell
2020-01-24,680.6700439453125,687.2908592684342,679.3279633794755,683.1080783353278,14628445,48.01270641443551,,,,631.5059814453125,-7.222892051343164,Sell
